2020-09-26	23:21:23	cam_server	start
2020-09-26	23:21:23	cam_server	Shutdown
2020-09-26	23:22:41	cam_server	start
2020-09-26	23:22:41	cam_server	Shutdown
2020-09-26	23:23:37	cam_server	start
2020-09-26	23:23:37	cam_server	Shutdown
2020-09-26	23:23:53	cam_server	start
2020-09-26	23:23:53	cam_server	Shutdown
2020-09-26	23:25:28	cam_server	start
2020-09-26	23:28:30	client	start
2020-09-26	23:28:30	client	connect Fail
2020-09-26	23:34:05	client	start
2020-09-26	23:25:28	cam_server	Shutdown
2020-09-26	23:36:39	cam_server	start
2020-09-26	23:36:39	cam_server	Shutdown
2020-09-26	23:37:20	cam_server	start
2020-09-26	23:38:01	client	start
2020-09-26	23:41:59	client	start
2020-09-26	23:42:46	client	start
2020-09-26	23:43:15	client	start
